,cos_sim,mse_dist,word_a,word_b
0,0.9104443192481995,0.17911134660243988,better,improved
1,0.3740248382091522,1.2519487142562866,starry,stargazer
2,0.7862812876701355,0.42743709683418274,gonna,go
3,0.9632460474967957,0.07350821793079376,comprises,encompasses
4,0.7603505849838257,0.47929832339286804,low,meager
5,0.8453291654586792,0.30934157967567444,maybe,presumably
6,0.7832622528076172,0.4334753751754761,gave,afforded
7,0.8560410737991333,0.28791725635528564,absolutely,wholly
8,0.9999685883522034,6.293334445217624e-05,cafe,coffeehouse
9,0.7765020728111267,0.4469955563545227,daniela,danielle
10,0.7810383439064026,0.4379230737686157,disliked,outlawed
11,0.7305790781974792,0.5388411283493042,place,site
12,0.665711522102356,0.6685759425163269,watching,viewing
13,0.6535862684249878,0.6928274035453796,going,vanishing
14,0.7141158580780029,0.5717677474021912,anyway,brief
15,0.9245179295539856,0.15096381306648254,think,thought
16,0.8278613090515137,0.34427693486213684,censorship,censored
17,0.7308937311172485,0.5382118225097656,another,others
18,0.7949428558349609,0.410113662481308,fix,rectify
19,0.5101396441459656,0.9797197580337524,gillen,milligan
20,0.7101311087608337,0.5797374844551086,know,understand
21,0.8303590416908264,0.339281290769577,thanks,merci
22,0.7003585696220398,0.5992826223373413,felt,perceived
23,0.8550419807434082,0.28991588950157166,towers,pylons
24,0.8825355172157288,0.2349286675453186,lovers,enthusiasts
25,0.8280946612358093,0.34381014108657837,resemblance,analogy
26,0.8691492080688477,0.2617012560367584,coffee,latte
27,0.7733451128005981,0.4533092975616455,director,filmmaker
28,0.7300612926483154,0.5398764610290527,could,ai
29,0.7740515470504761,0.4518964886665344,reality,pragmatic
30,0.7998171448707581,0.40036556124687195,thinking,reflections
31,0.8972446918487549,0.20551033318042755,like,loves
32,0.973229706287384,0.05354045704007149,record,recordings
33,0.7026658654212952,0.5946674346923828,episode,incident
34,0.7745645642280579,0.45087021589279175,us,nous
35,0.5886313915252686,0.8227367401123047,two,secondly
36,0.7864858508110046,0.42702826857566833,tired,exhausted
37,0.7618351578712463,0.4763292670249939,direction,directive
38,0.7820550799369812,0.4358888864517212,yet,albeit
39,0.8739348649978638,0.2521297335624695,innocent,innocents
40,0.7586847543716431,0.4826294481754303,develops,prepares
41,0.7738215327262878,0.45235663652420044,process,procedural
42,0.8577796816825867,0.2844407558441162,wants,desires
43,0.760549008846283,0.47890159487724304,cindy,becky
44,0.7274650931358337,0.5450689196586609,called,asked
45,0.9591261148452759,0.08174757659435272,night,nocturnal
