"label_1","label_2","passage_1","passage_2","score_1","score_2"
0.0,0.0,"possibly the most irresponsible picture ever released by a major film studio .","possibly the most irresponsible picture ever released by a major film studio .","",""
1.0,0.0,"[[boisterous]] and daft documentary .","[[rambunctious]] and daft documentary .",0.9824089407920837,0.683265209197998
0.0,1.0,"[[skip]] the film and buy the philip glass soundtrack cd .","[[jumping]] the film and buy the philip glass soundtrack cd .",0.6150420904159546,0.900708794593811
1.0,0.0,"it's the kind of [[effectively]] creepy-[[scary]] thriller that has you fixating on a [[far]] corner of the screen at [[times]] [[because]] your nerves just can't take it any more .","it's the kind of [[soundly]] creepy-[[dreadful]] thriller that has you fixating on a [[heavily]] corner of the screen at [[jours]] [[since]] your nerves just can't take it any more .",0.9561581611633301,0.6226407289505005
0.0,0.0,"it bites hard .","it bites hard .","",""
0.0,0.0,"for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/2-hour running time .","for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1/2-hour running time .","",""
0.0,1.0,"in a [[strange]] [[way]] , egoyan has [[done]] too much . he's [[worked]] too [[hard]] on this [[movie]] .","in a [[surprising]] [[ways]] , egoyan has [[achieved]] too much . he's [[works]] too [[painful]] on this [[films]] .",0.8848444223403931,0.5024431943893433
0.0,1.0,"a [[feel]]-good [[movie]] that doesn't give you enough to feel good about .","a [[sensation]]-good [[cinema]] that doesn't give you enough to feel good about .",0.9348159432411194,0.5454992055892944
0.0,1.0,"the jokes are flat , and the [[action]] looks [[fake]] .","the jokes are flat , and the [[initiatives]] looks [[forged]] .",0.7772805690765381,0.5070052146911621
1.0,0.0,"the pain , [[loneliness]] and insecurity of the screenwriting process are [[vividly]] and painfully [[brought]] to slovenly life in this self-deprecating , biting and [[witty]] [[feature]] written by charlie kaufman and his twin brother , donald , and directed by spike jonze .","the pain , [[loner]] and insecurity of the screenwriting process are [[alarmingly]] and painfully [[filed]] to slovenly life in this self-deprecating , biting and [[bawdy]] [[specs]] written by charlie kaufman and his twin brother , donald , and directed by spike jonze .",0.9995433688163757,0.5025919079780579
1.0,0.0,"a [[thoughtful]] , [[moving]] piece that faces [[difficult]] issues with honesty and [[beauty]] .","a [[factored]] , [[shifting]] piece that faces [[problematic]] issues with honesty and [[leggy]] .",0.9985164999961853,0.8813614845275879
1.0,0.0,"don't plan on the [[perfect]] ending , but sweet home alabama [[hits]] the [[mark]] with [[critics]] who escaped from a small town life .","don't plan on the [[irreproachable]] ending , but sweet home alabama [[pummeled]] the [[markings]] with [[detractors]] who escaped from a small town life .",0.9977681636810303,0.5344147682189941
1.0,0.0,"a [[respectable]] [[venture]] on its own terms , lacking the broader vision that has seen certain trek films . . . cross over to a more mainstream audience .","a [[reputable]] [[endeavor]] on its own terms , lacking the broader vision that has seen certain trek films . . . cross over to a more mainstream audience .",0.9975035786628723,0.5341147184371948
0.0,1.0,"gets [[bogged]] down by an overly sillified [[plot]] and stop-and-start [[pacing]] .","gets [[sidetracked]] down by an overly sillified [[conspiracy]] and stop-and-start [[pace]] .",0.8034652471542358,0.6437075734138489
1.0,0.0,"lee jeong-hyang [[tells]] it [[so]] [[lovingly]] and [[films]] it [[so]] [[beautifully]] that i couldn't [[help]] being [[captivated]] by it .","lee jeong-hyang [[telling]] it [[too]] [[reverently]] and [[movie]] it [[too]] [[unspeakably]] that i couldn't [[contributes]] being [[enamored]] by it .",0.9982852339744568,0.5677807927131653
0.0,0.0,"makes for some truly odd , at times confusing , kids entertainment . . . but at least this time there's some centered storytelling to go along with all the weird stuff .","makes for some truly odd , at times confusing , kids entertainment . . . but at least this time there's some centered storytelling to go along with all the weird stuff .","",""
0.0,1.0,"the characters , cast in impossibly [[contrived]] [[situations]] , are totally estranged from reality .","the characters , cast in impossibly [[engineered]] [[events]] , are totally estranged from reality .",0.7635942101478577,0.5343810319900513
